"company","cov_2013","cov_2014","cov_2015","cov_2016","cov_2017","cov_2018","cov_2019","cov_2020","cov_2021","a2e_2013","a2e_2014","a2e_2015","a2e_2016","a2e_2017","a2e_2018","a2e_2019","a2e_2020","a2e_2021"
"Adeptia",43,43,46,16,11,12,14,21,28,32,25,31,52,52,46,42,30,35
"CloverDX",NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,25
"Denodo",NA,NA,47,62,63,43,48,52,57,NA,NA,31,22,21,59,66,63,63
"Fivetran",NA,NA,NA,NA,NA,NA,NA,19,33,NA,NA,NA,NA,NA,NA,NA,13,35
"Hitachi Vantara",NA,NA,NA,NA,NA,12,17,33,NA,NA,NA,NA,NA,NA,32,38,41,NA
"HVR",NA,NA,NA,NA,NA,NA,NA,16,32,NA,NA,NA,NA,NA,NA,NA,20,29
"IBM",78,75,69,81,73,67,72,78,78,82,78,66,81,76,73,75,76,74
"Informatica",81,80,82,85,80,75,80,80,80,78,80,81,85,82,80,80,80,80
"Information Builders",60,60,62,51,52,55,58,NA,NA,46,45,44,45,37,41,45,NA,NA
"Matillion",NA,NA,NA,NA,NA,NA,NA,18,41,NA,NA,NA,NA,NA,NA,NA,16,32
"Microsoft",44,42,38,47,48,46,46,48,53,57,63,67,59,78,61,70,66,68
"Oracle",54,56,64,57,61,61,62,74,74,59,58,61,68,59,62,68,67,67
"Precisely",22,18,18,31,41,38,39,42,44,44,41,40,39,41,45,45,53,54
"Qlik",NA,NA,NA,35,27,33,36,41,43,NA,NA,NA,53,52,57,65,63,68
"Safe Software",NA,NA,NA,NA,NA,NA,NA,25,23,NA,NA,NA,NA,NA,NA,NA,47,38
"SAP",67,66,71,62,63,54,68,73,70,62,61,64,71,68,70,73,70,71
"SAS",57,61,62,69,69,72,75,56,48,52,52,53,54,57,64,67,60,52
"SnapLogic",NA,NA,NA,NA,NA,NA,53,62,66,NA,NA,NA,NA,NA,NA,26,26,33
"Talend",55,57,62,65,61,53,60,63,68,47,48,48,56,66,72,66,72,68
"TIBCO Software",NA,NA,NA,NA,NA,47,43,44,47,NA,NA,NA,NA,NA,42,46,56,56
